Q2,target,collimator,run,SHMS_3of4_rate,current,currentCut,edtm_scaler,edtm_accepted,live_time
14.3,LH2,SC,2428,28.98,21.106,42.584,21682,21263,0.9610
14.3,LH2,SC,2429,24.89,21.151,37.55,22073,21599,0.9619
14.3,LH2,SC,2430,17.19,21.943,28.1,21658,21219,0.9740
14.3,LH2,SC,2431,10.83,14.066,20.467,14302,14099,0.9793
14.3,LH2,SC,2432,18.01,11.898,14.172,1499,1485,0.9889
14.3,LH2,SC,2433,7.65,2.359,16.378,18060,18008,0.9800
14.3,LH2,SC,2434,11.15,19.461,22.348,10456,10263,0.9788
14.3,LH2,SC,2435,26.77,28.903,39.412,17254,16771,0.9618
11.5,C12 6%,LC,2446,10.40,12.109,20.172,21680,21456,0.9828
11.5,C12 6%,LC,2447,15.69,18.384,27.6,21982,21605,0.9743
11.5,C12 6%,LC,2448,22.67,26.622,34.91,21572,21035,0.9674
11.5,C12 6%,LC,2449,13.30,17.48,24.065,20976,20630,0.9773
11.5,C12 6%,LC,2450,9.58,16.093,19.182,723,712,0.9819
11.5,C12 6%,LC,2456,30.08,24.882,42.318,21586,21096,0.9614
11.5,C12 6%,LC,2457,18.66,14.921,31.002,21988,21664,0.9694
11.5,C12 6%,LC,2458,7.02,5.255,14.948,7235,7204,0.9878
11.5,C12 6%,LC,2459,30.93,31.335,43.068,17686,17194,0.9618
11.5,C12 6%,LC,2460,32.08,26.843,44.104,21453,20931,0.9600
11.5,C12 6%,LC,2461,15.62,22.302,27.126,21019,20620,0.9769
11.5,C12 6%,LC,2462,11.50,10.904,21.485,21388,21188,0.9816
11.5,C12 6%,LC,2463,12.06,16.952,22.719,14218,13994,0.9789
9.5,C12 6%,LC,3179,17.43,28.24,42.99,23450,23025,0.9724
9.5,C12 6%,LC,3180,18.29,24.644,44.827,21643,21287,0.9701
9.5,C12 6%,LC,3181,19.94,42.011,48.313,21847,21250,0.9686
9.5,C12 6%,LC,3201,19.60,40.416,48.061,8851,8607,0.9672
9.5,C12 1.5%,LC,3183,2.66,33.916,47.55,23819,23709,0.9935
9.5,C12 1.5%,LC,3184,2.70,38.946,47.871,19145,19034,0.9929
9.5,C12 1.5%,LC,3186,2.66,32.855,47.185,22761,22640,0.9924
9.5,C12 1.5%,LC,3187,2.57,30.784,45.728,22066,21973,0.9937
9.5,C12 1.5%,LC,3193,2.37,31.495,42.886,19785,19709,0.9948
9.5,C12 1.5%,LC,3198,3.27,47.41,56.928,25106,24939,0.9920
9.5,C12 1.5%,LC,3199,3.25,46.513,56.937,21388,21253,0.9923
8.01,LH2,SC,2023,27.70,,,,,
8.01,LH2,SC,2046,29.77,,,,,
8.01,LH2,SC,2047,28.11,,,,,
8.01,LH2,SC,2048,25.28,,,,,
8.01,LH2,SC,2050,28.28,,,,,
8.01,LH2,SC,2051,28.43,,,,,
8.01,LH2,SC,2052,28.00,,,,,
8.01,LH2,SC,2054,28.79,,,,,
8.01,LH2,SC,2066,31.01,,,,,
8.01,C12 1.5%,SC,2062,11.87,,,,,
8.01,C12 1.5%,SC,2064,10.69,,,,,
8.01,C12 1.5%,SC,2065,9.21,,,,,
8.01,C12 6%,SC,2187,17.94,,,,,
8.01,C12 6%,SC,2188,17.58,,,,,
8.01,C12 6%,SC,2189,25.30,,,,,
8.01,C12 6%,SC,2190,26.19,,,,,
8.01,C12 6%,SC,2191,35.91,,,,,
8.01,C12 6%,SC,2192,40.58,,,,,
8.01,C12 6%,SC,2193,36.85,,,,,
8.01,C12 6%,SC,2194,41.63,,,,,
8.01,C12 6%,SC,2195,41.27,,,,,
8.01,C12 6%,SC,2196,41.52,,,,,
8.01,C12 6%,SC,2197,40.36,,,,,
8.01,C12 6%,SC,2198,40.40,,,,,
8.01,C12 6%,SC,2199,39.55,,,,,
8.01,C12 6%,SC,2200,41.25,,,,,
8.01,C12 6%,SC,2201,38.60,,,,,
8.01,C12 6%,SC,2202,25.75,,,,,
8.01,C12 6%,SC,2203,38.40,,,,,
8.01,C12 6%,SC,2204,37.81,,,,,
8.01,C12 6%,SC,2205,38.65,,,,,
8.01,C12 6%,SC,2206,37.89,,,,,
8.01,C12 6%,SC,2207,41.74,,,,,
8.01,C12 6%,SC,2208,40.45,,,,,
8.01,C12 6%,SC,2209,39.81,,,,,
8.01,C12 6%,SC,2211,38.61,,,,,
8.01,C12 6%,SC,2212,28.29,,,,,
